77,daiwt_5.0-24_batch1,batch6,2,75,5.0,24,andmu,1578
78,daiwt_2.5-04_batch1,batch6,2,76,5.0,24,daiwt,2190
79,daiwt_0-0_batch1,batch6,2,77,2.5,04,daiwt,2390
8,daimu_0.0-0_batch1,batch1,1,8,2.5,24,andwt,1924
80,daiwt_ATM-24_batch1,batch6,2,78,0.0,00,daiwt,2190
81,daiwt_2.5-04_batch1,batch7,2,79,ATM,24,daiwt,2390
82,daimu_0-0_batch1,batch7,2,80,2.5,04,daiwt,2190
83,andmu_5.0-48_batch1,batch7,2,81,0.0,00,daimu,2187
84,daiwt_ATM-48_batch1,batch7,2,82,5.0,48,andmu,1578
85,daimu_ATM-24_batch1,batch7,2,83,ATM,48,daiwt,2190
86,daiwt_ATM-04_batch1,batch7,2,84,ATM,24,daimu,2187
87,daiwt_2.5-24_batch1,batch7,2,47,ATM,04,daiwt,2190
88,andmu_2.5-48_batch1,batch7,2,48,2.5,24,daiwt,2190
89,andmu_2.5-24_batch1,batch7,2,87,2.5,48,andmu,1578
9,daimu_5.0-04_batch1,batch2,1,9,0.0,00,daimu,2397
90,daiwt_5.0-48_batch1,batch7,2,88,2.5,24,andmu,1578
91,andmu_0-0_batch1,batch7,2,89,5.0,48,daiwt,2390
92,andmu_5.0-04_batch1,batch7,2,90,0.0,00,andmu,1578
93,daiwt_2.5-24_batch1,batch7,2,91,5.0,04,andmu,1578
94,daiwt_0-0_batch1,batch7,2,92,2.5,24,daiwt,2390
95,daimu_ATM-04_batch1,batch7,2,93,0.0,00,daiwt,2390
96,daiwt_5.0-24_batch1,batch7,2,94,ATM,04,daimu,2187
97,andmu_ATM-48_batch1,batch7,2,95,5.0,24,daiwt,2390
98,daiwt_5.0-48_batch1,batch7,2,96,ATM,48,andmu,1578
99,daimu_2.5-04_batch1,batch7,2,49,5.0,48,daiwt,2190
